Object1ID	Object1Type	Object1PrefName	Object1TextSynonyms	Object2ID	Object2Type	Object2PrefName	Object2TextSynonyms	Predicate	Direction	ConfidenceScore	n_sentences	n_pmids	SupportPMIDs
	Disease	anhedonia	anhedonia	12721	Species	Human immunodeficiency virus	HIV	is associated with	<->	0.190103	1	1	40633520
2697049	Species	Severe acute respiratory syndrome coronavirus 2	COVID-19		Disease	fear	fear	increases risk of	->	0.189418	1	1	35135505
12455	Species	Borna disease virus	Borna disease virus	1470	Disease	major depressive disorder	major depressive disorder; MDD	causes	->	0.189171	2	1	22290118
10646	Disease	schizotypal personality disorder	schizotypal personality disorder	2697049	Species	Severe acute respiratory syndrome coronavirus 2	SARS-CoV-2	is associated with	<->	0.188969	1	1	33634761
3052230	Species	Orthohepacivirus hominis	HCV	0002025	Disease	psychiatric disorder	psychiatric	leads to	->	0.186824	2	1	19061674
2081351	Species	Drosophila	Drosophila	1470	Disease	major depressive disorder	depression	increases risk of	->	0.186385	1	1	32388446
12721	Species	Human immunodeficiency virus	HIV	12140	Disease	Chagas disease	Chagas disease	leads to	->	0.185254	1	1	24845116
12721	Species	Human immunodeficiency virus	human immunodeficiency virus	0005798	Disease	HIV-associated nephropathy	HIV	causes	->	0.184314	1	1	20726698
3052230	Species	Orthohepacivirus hominis	HCV		Disease	HCV mono-infected	HCV mono-infected	leads to	->	0.183912	1	1	28365538
12721	Species	Human immunodeficiency virus	HIV	9973	Disease	substance dependence	substance use disorders	increases risk of	->	0.183689	1	1	22614744
10566	Species	Human papillomavirus	Human Papillomavirus	1470	Disease	major depressive disorder	Major Depressive Disorder	leads to	->	0.183413	1	1	41025852
2697049	Species	Severe acute respiratory syndrome coronavirus 2	COVID-19	0080599	Disease	Coronavirus infectious disease	coronavirus disease	increases risk of	->	0.182961	1	1	33202706
12721	Species	Human immunodeficiency virus	HIV		Disease	neurocognitive decline	neurocognitive decline	increases risk of	->	0.181999	1	1	34565257
